"","X","GDP","Life.expectancy","Adult.Mortality","infant.deaths","Measles","under.five.deaths","Polio","Diphtheria","HIV.AIDS","Population","Income.composition.of.resources","Schooling","Hepatitis.B","BMI","Thinness.1.19.years","Thinness.5.9.years"
"1",1,1844.021503,65,263,62,1154,83,6,65,0.1,33736494,0.479,10.1,65,19.1,17.2,17.3
"2",2,10136.02049,77.8,74,0,0,0,99,99,0.1,2887300,0.762,14.2,99,58,1.2,1.3
"3",3,13540.79671,75.6,19,21,63,24,95,95,0.1,39871528,0.743,14.4,95,59.5,6,5.8
"4",4,21061.86786,76.4,13,0,0,0,86,99,0.2,92000,0.784,13.9,99,47.7,3.3,3.3
"5",5,7698.694581,74.8,118,1,33,1,96,94,0.1,2916950,0.741,12.7,94,54.9,2.1,2.2
"6",6,43218.51526,82.8,59,1,74,1,93,93,0.1,23789338,0.937,20.4,93,66.6,0.6,0.6
"7",7,43908.12714,81.5,65,0,309,0,93,93,0.1,8633169,0.892,15.9,93,57.6,1.9,2.1
"8",8,16710.29664,72.7,118,5,0,6,98,96,0.1,9649341,0.758,12.7,96,52.5,2.8,2.9
"9",9,22411.05684,76.1,147,0,0,0,95,95,0.1,393244,0.79,12.6,95,64.5,2.5,2.5
"10",10,43408.23705,76.9,69,0,0,0,98,98,0.1,1301575,0.823,14.5,98,63.6,6.2,6.1
"11",11,2979.16727,71.8,129,92,240,113,97,97,0.1,161288600,0.575,10.2,97,18.3,17.9,18.3
"12",12,15319.51155,75.5,98,0,0,0,97,97,0.1,285324,0.794,15.3,97,54.5,3.8,3.7
"13",13,17348.76639,72.3,196,0,2,0,99,99,0.1,9489616,0.798,15.6,99,62.3,1.9,2
"14",14,40823.39248,81.1,74,0,47,1,99,99,0.1,11274196,0.895,16.6,98,63.7,1,1
"15",15,8029.833508,71,175,0,0,0,94,94,0.2,359288,0.706,12.8,94,5.9,3.5,3.4
"16",16,1936.825582,60,249,25,55,39,78,82,1,10575952,0.481,10.7,82,25.7,6.9,6.8
"17",17,7456.315988,69.8,211,0,11,0,98,99,0.5,787386,0.604,12.5,99,24.5,15.4,16
"18",18,9490.143489,77.4,88,0,1677,0,74,82,0.1,3535961,0.747,14.2,82,55.8,2.3,2.3
"19",19,15359.06317,65.7,256,2,0,2,96,95,2.2,2291917,0.698,12.6,95,37.9,6.4,6.1
"20",20,15109.82555,75,142,42,214,47,98,96,0.1,259621811,0.754,15.2,96,56.1,2.7,2.6
"21",21,16363.19176,74.5,137,0,0,1,91,91,0.1,7177991,0.792,15,92,65.7,1.9,1.8
"22",22,1545.077556,59.9,26,38,99,61,91,91,0.6,18116214,0.399,7.7,91,19.4,8,7.5
"23",23,734.4845955,59.6,288,21,9,31,94,94,0.7,11992711,0.406,10.6,94,18.7,7.3,7.2
"24",24,3112.630513,68.7,174,10,0,12,87,89,0.2,15517635,0.558,10.9,89,19.6,1.9,1.9
"25",25,2835.566677,57.3,357,45,1809,68,83,84,3.5,22834522,0.514,10.4,84,29,5.6,5.5
"26",26,42777.89898,82.2,64,2,195,2,91,91,0.1,35848611,0.919,16.3,55,67,0.6,0.5
"27",27,566.846007,52.5,397,15,150,21,47,47,4.4,4546321,0.347,7.1,47,22.7,8.2,8.2
"28",28,2081.718396,53.1,356,46,418,77,52,46,2.8,14941333,0.394,7.3,46,19.1,8.5,8.4
"29",29,21979.82132,85,82,2,9,2,96,96,0.1,17762681,0.845,16.3,97,63.8,0.8,0.8
"30",30,12599.18183,76.1,85,157,42361,183,99,99,0.1,1371254542,0.734,13.5,99,32.9,3.6,2.9
"31",31,12743.01602,74.8,143,10,1,12,91,91,0.1,48228697,0.724,13.6,91,57.9,2.1,1.9
"32",32,1363.563075,63.5,227,1,0,2,92,91,0.8,777424,0.498,11.1,91,24.2,6.7,6.5
"33",33,5988.158823,64.7,267,7,1359,10,8,8,2.8,4856343,0.59,11.1,8,27.4,7.5,7.1
"34",34,14232.17543,79.6,95,1,0,1,92,92,0.1,4878502,0.775,14.2,92,6.5,1.7,1.7
"35",35,20033.08754,78,95,0,206,0,94,94,0.1,4298364,0.823,15.3,94,63.7,1.5,1.4
"36",36,29673.18385,85,52,0,0,0,97,97,0.1,1169850,0.854,14.3,97,6.3,1,1
"37",37,42757.54325,86,71,0,9,0,93,93,0.1,5683483,0.923,19.2,81.39583333,58.8,1.1,0.9
"38",38,3120.044328,63.5,241,1,47,1,84,84,2.1,927414,0.47,6.3,84,35,5.6,5.4
"39",39,12652.5233,73.9,152,6,0,7,87,85,0.3,10528394,0.718,13.2,81,58.9,3.3,3.2
"40",40,10848.81847,76.2,118,6,0,7,84,78,0.1,16144368,0.739,14,78,54.2,1.2,1.1
"41",41,10045.77995,79,159,51,5432,60,93,93,0.1,92449483,0.688,13.1,93,61.1,2.8,2.8
"42",42,7967.149952,73.5,178,2,0,2,92,91,0.2,6312478,0.678,13.2,91,56.1,1.6,1.5
"43",43,33141.85216,58.2,32,3,1250,4,17,16,4.2,1175389,0.582,9.2,16,24.5,8.4,8.3
"44",44,26611.72977,77.6,119,0,4,0,93,93,0.1,1315471,0.863,16.5,91,59.9,1.9,1.9
"45",45,1430.803443,64.8,225,136,17745,194,75,77,0.6,100854532,0.441,8.4,77,17.6,1.4,1.2
"46",46,8388.12539,69.9,188,0,0,0,99,99,0.1,892149,0.734,15.3,99,62.7,4,3.7
"47",47,38534.98821,81.1,76,0,2,0,97,97,0.1,5479531,0.893,17,81.39583333,62.1,0.9,0.8
"48",48,37214.40686,82.4,78,2,157,3,98,98,0.1,66624681,0.894,16.3,86,62.5,0.7,0.6
"49",49,18536.76837,66,229,2,27,3,79,8,2.7,1931751,0.694,12.6,8,36.3,6.1,5.9
"50",50,7233.37689,74.4,129,1,431,1,91,94,0.1,3717431,0.768,13.9,94,56.2,2.7,2.8
"51",51,43602.35925,81,68,2,2464,3,94,95,0.1,81686611,0.924,17.1,88,62.3,1.1,1.1
"52",52,3894.004399,62.4,249,37,23,52,88,88,0.7,27582821,0.575,11.4,88,28.6,6.2,6.1
"53",53,24372.42214,81,72,0,1,0,99,99,0.1,10863423,0.865,17.2,96,66.5,0.8,0.7
"54",54,11853.71686,73.6,142,0,0,0,99,92,0.1,109599,0.751,15.8,92,48.4,3.8,3.8
"55",55,7111.550259,71.9,186,10,0,12,9,74,0.4,16252429,0.637,10.7,74,5.6,1.2,1.2
"56",56,1165.12982,59,284,26,243,40,42,54,0.5,12915333,0.414,8.8,54,23.3,7.3,7.3
"57",57,1321.829538,58.9,275,4,153,6,87,87,3.2,1775206,0.421,9.2,87,26.3,7.1,7
"58",58,1652.173694,63.5,24,14,0,18,56,6,0.5,17116981,0.49,9.1,6,49.9,3.9,3.9
"59",59,4682.99035,74.6,147,3,0,4,97,97,0.3,8968291,0.623,11.2,97,51,2.1,2.1
"60",60,23734.78551,75.8,134,0,0,0,99,99,0.1,9843218,0.834,15.6,81.39583333,64.8,1.6,1.6
"61",61,41236.47323,82.7,49,0,0,0,92,92,0.1,338151,0.919,19,81.39583333,61,1,0.9
"62",62,5438.616195,68.3,181,910,90387,1100,86,87,0.2,1395398986,0.615,11.6,87,18.7,26.7,27.3
"63",63,10033.48179,69.1,176,114,15099,136,8,78,0.3,258162113,0.686,12.9,78,27.4,1.4,1.2
"64",64,14364.83649,68.9,182,32,1433,38,63,58,0.1,36115649,0.649,10.1,56,59.1,5.3,5.1
"65",65,48430.92559,81.4,64,0,4,0,95,95,0.1,4676835,0.92,18.6,95,62.8,0.3,0.2
"66",66,31484.6333,82.5,58,0,80,1,95,95,0.1,8381987,0.898,16,96,64.9,1.2,1.1
"67",67,33038.91175,82.7,56,1,159,2,93,93,0.1,67358287,0.881,16.3,93,63.6,0.6,0.6
"68",68,8467.386034,76.2,125,1,0,1,91,91,0.5,2871934,0.729,12.8,91,54.2,1.8,1.7
"69",69,35634.97072,83.7,55,2,35,3,99,96,0.1,127141749,0.902,15.3,81.39583333,29,2.1,1.8
"70",70,11496.26493,74.1,112,4,0,4,99,99,0.1,9159328,0.741,13.1,99,65.6,4,4
"71",71,23113.93318,72,198,4,526,5,98,98,0.1,17544126,0.793,15,98,53.1,2.4,2.5
"72",72,2818.255144,63.4,249,54,95,75,83,89,2.8,47236259,0.55,11.1,89,22,7.8,7.6
"73",73,1725.85646,66.3,198,0,0,0,8,78,0.1,112471,0.586,11.9,82,77.6,0.1,0.1
"74",74,69877.98654,74.7,81,0,18,1,99,99,0.1,3836323,0.799,13.3,99,71.4,3.5,3.4
"75",75,3169.471608,71.1,166,3,17779,3,97,97,0.1,5957438,0.662,13,97,44.9,3.3,3.4
"76",76,22076.41849,74.6,153,0,0,0,95,95,0.1,1977527,0.828,16,94,61.2,2.2,2.1
"77",77,16659.32796,74.9,98,1,39,1,75,81,0.1,5851479,0.763,13.3,81,66.1,4.9,4.9
"78",78,2517.01021,53.7,484,4,0,6,9,93,9.3,2174645,0.495,10.7,93,32.6,5.5,5.3
"79",79,802.0499464,61.4,259,8,1060,11,52,52,0.9,4499621,0.427,9.9,52,27.3,6.5,6.4
"80",80,14879.98843,72.7,138,1,82,2,97,97,0.1,6418543,0.719,13.4,97,64.8,5.8,5.5
"81",81,25813.09716,73.6,165,0,50,0,93,93,0.1,2949431,0.846,16.5,94,62.4,2.6,2.6
"82",82,91408.36842,82,63,0,0,0,99,99,0.1,569264,0.896,13.9,94,61.3,1,0.9
"83",83,1373.184562,65.5,22,28,3,38,71,69,0.3,24234818,0.511,10.3,69,2.5,7.1,7.1
"84",84,783.8314745,58.3,365,26,0,38,88,88,4.8,17573617,0.473,10.8,88,19.6,6.4,6.2
"85",85,24459.77964,75,123,4,1318,4,99,99,0.1,37231515,0.787,13.1,99,4.6,7.5,7.3
"86",86,11953.58551,78.5,61,0,0,0,99,99,0.1,491613,0.701,12.7,99,27.4,13.6,13.6
"87",87,1525.685201,58.2,266,52,215,84,66,64,1.5,17467915,0.438,8.4,64,23.8,7.7,7.5
"88",88,3731.902529,63.1,25,8,1,12,67,73,0.9,4182341,0.513,8.5,73,3.8,7.8,7.5
"89",89,17730.8984,74.6,146,0,0,0,98,97,0.1,1262615,0.779,15.2,97,33.3,6.9,6.8
"90",90,16284.15191,76.7,122,30,0,35,87,87,0.1,125899419,0.758,13.3,82,63.5,1.5,1.5
"91",91,11396.4208,68.8,222,1,20359,1,99,99,0.1,2976877,0.733,14.8,99,52.7,2.2,2.3
